"Parameter",Mandatory/Optional,Details
victoria_logs_cluster > ``vlagent`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vlagent pods
* **Default value**: ``64Mi``"
victoria_logs_cluster > ``vlagent`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vlagent pods
* **Default value**: ``25m``"
victoria_logs_cluster > ``vlagent`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vlagent pods
* **Default value**: ``256Mi``"
victoria_logs_cluster > ``vlagent`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vlagent pods
* **Default value**: ``100m``"
vector > ``ldms`` > ``replicas``,Mandatory,"* Number of Vector-LDMS pod replicas
* **Default value**: 2"
vector > ``ldms`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for Vector-LDMS pods
* **Default value**: ``128Mi``"
vector > ``ldms`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for Vector-LDMS pods
* **Default value**: ``50m``"
vector > ``ldms`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for Vector-LDMS pods
* **Default value**: ``256Mi``"
vector > ``ldms`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for Vector-LDMS pods
* **Default value**: ``250m``"
vector > ``ome`` > ``replicas``,Mandatory,"* Number of Vector-OME pod replicas
* **Default value**: 2"
vector > ``ome`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for Vector-OME pods
* **Default value**: ``256Mi``"
vector > ``ome`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for Vector-OME pods
* **Default value**: ``100m``"
vector > ``ome`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for Vector-OME pods
* **Default value**: ``512Mi``"
vector > ``ome`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for Vector-OME pods
* **Default value**: ``500m``"
vector > ``vlagent_vector`` > ``replicas``,Mandatory,"* Number of vlagent-vector pod replicas
* **Default value**: 2"
vector > ``vlagent_vector`` > ``pvc_size``,Mandatory,"* PVC size for vlagent-vector pods
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``5Gi``"
vector > ``vlagent_vector`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vlagent-vector pods
* **Default value**: ``128Mi``"
vector > ``vlagent_vector`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vlagent-vector pods
* **Default value**: ``50m``"
vector > ``vlagent_vector`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vlagent-vector pods
* **Default value**: ``256Mi``"
vector > ``vlagent_vector`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vlagent-vector pods
* **Default value**: ``250m``"
vector > ``vmagent_vector`` > ``replicas``,Mandatory,"* Number of vmagent-vector pod replicas
* **Default value**: 2"
vector > ``vmagent_vector`` > ``pvc_size``,Mandatory,"* PVC size for vmagent-vector pods
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``5Gi``"
vector > ``vmagent_vector`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vmagent-vector pods
* **Default value**: ``128Mi``"
vector > ``vmagent_vector`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vmagent-vector pods
* **Default value**: ``50m``"
vector > ``vmagent_vector`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vmagent-vector pods
* **Default value**: ``256Mi``"
vector > ``vmagent_vector`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vmagent-vector pods
* **Default value**: ``250m``"
csi_volume_exporter > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for CSI Volume Exporter pods
* **Default value**: ``50m``"
csi_volume_exporter > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for CSI Volume Exporter pods
* **Default value**: ``64Mi``"
csi_volume_exporter > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for CSI Volume Exporter pods
* **Default value**: ``200m``"
csi_volume_exporter > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for CSI Volume Exporter pods
* **Default value**: ``256Mi``"
csm_metrics_powerscale_resources > ``requests`` > ``cpu``,Mandatory,"* CPU request for CSM Metrics PowerScale pods
* **Default value**: ``100m``"
csm_metrics_powerscale_resources > ``requests`` > ``memory``,Mandatory,"* Memory request for CSM Metrics PowerScale pods
* **Default value**: ``128Mi``"
csm_metrics_powerscale_resources > ``limits`` > ``cpu``,Mandatory,"* CPU limit for CSM Metrics PowerScale pods
* **Default value**: ``500m``"
csm_metrics_powerscale_resources > ``limits`` > ``memory``,Mandatory,"* Memory limit for CSM Metrics PowerScale pods
* **Default value**: ``512Mi``"
